,day,매매기준율
0,2020-10-14,1146.5
1,2020-10-13,1146.0
2,2020-10-12,1150.0
3,2020-10-08,1152.5
4,2020-10-07,1158.5
5,2020-10-06,1161.5
6,2020-10-05,1160.5
7,2020-09-29,1169.0
8,2020-09-28,1170.0
9,2020-09-25,1175.0
10,2020-09-24,1172.5
11,2020-09-23,1163.0
12,2020-09-22,1160.0
13,2020-09-21,1163.5
14,2020-09-18,1163.5
15,2020-09-17,1173.0
16,2020-09-16,1173.5
17,2020-09-15,1180.0
18,2020-09-14,1183.0
19,2020-09-11,1187.0
20,2020-09-10,1186.9
21,2020-09-09,1187.5
22,2020-09-08,1189.0
23,2020-09-07,1188.0
24,2020-09-04,1189.5
25,2020-09-03,1190.0
26,2020-09-02,1187.0
27,2020-09-01,1184.7
28,2020-08-31,1187.0
29,2020-08-28,1183.0
30,2020-08-27,1185.8
31,2020-08-26,1187.0
32,2020-08-25,1187.0
33,2020-08-24,1188.0
34,2020-08-21,1189.5
35,2020-08-20,1188.5
36,2020-08-19,1178.0
37,2020-08-18,1184.5
38,2020-08-14,1187.5
39,2020-08-13,1184.5
40,2020-08-12,1184.5
41,2020-08-11,1184.5
42,2020-08-10,1187.5
43,2020-08-07,1188.5
44,2020-08-06,1185.5
45,2020-08-05,1188.0
46,2020-08-04,1194.5
47,2020-08-03,1195.7
48,2020-07-31,1191.0
49,2020-07-30,1196.0
50,2020-11-25,1107.0
51,2020-11-24,1110.0
52,2020-11-23,1112.0
53,2020-11-20,1117.0
54,2020-11-19,1117.0
55,2020-11-18,1103.5
56,2020-11-17,1106.0
57,2020-11-16,1108.5
58,2020-11-13,1113.5
59,2020-11-12,1113.5
60,2020-11-11,1113.0
61,2020-11-10,1117.0
62,2020-11-09,1115.0
63,2020-11-06,1121.5
64,2020-11-05,1126.5
65,2020-11-04,1140.0
66,2020-11-03,1133.0
67,2020-11-02,1135.0
68,2020-10-30,1134.5
69,2020-10-29,1134.5
70,2020-10-28,1133.5
71,2020-10-27,1126.5
72,2020-10-26,1130.0
73,2020-10-23,1128.5
74,2020-10-22,1135.0
75,2020-10-21,1133.5
76,2020-10-20,1139.0
77,2020-10-19,1140.0
78,2020-10-16,1146.0
79,2020-10-15,1147.5
80,2020-12-09,1085.0
81,2020-12-08,1085.5
82,2020-12-07,1086.5
83,2020-12-04,1086.0
84,2020-12-03,1094.0
85,2020-12-02,1103.0
86,2020-12-01,1108.5
87,2020-11-30,1107.5
88,2020-11-27,1105.0
89,2020-11-26,1107.5
90,2021-01-08,1092.0
91,2021-01-07,1092.0
92,2021-01-06,1086.5
93,2021-01-05,1089.0
94,2021-01-04,1082.5
95,2020-12-31,1088.0
96,2020-12-30,1087.5
97,2020-12-29,1093.5
98,2020-12-28,1096.5
99,2020-12-24,1103.5
100,2020-12-23,1107.5
101,2020-12-22,1106.5
102,2020-12-21,1109.0
103,2020-12-18,1099.5
104,2020-12-17,1094.0
105,2020-12-16,1091.0
106,2020-12-15,1094.5
107,2020-12-14,1092.5
108,2020-12-11,1092.0
109,2020-12-10,1088.5
