,day,종가,시가,고가,저가
0,2021-04-23,14016.81,13861.37,14062.74,13856.83
1,2021-04-22,13818.41,13952.57,14015.87,13771.04
2,2021-04-21,13950.22,13745.77,13951.35,13706.86
3,2021-04-20,13786.27,13894.46,13927.67,13698.67
4,2021-04-19,13914.77,13984.58,14041.79,13842.57
5,2021-04-16,14052.34,14059.11,14062.5,13977.05
6,2021-04-15,14038.76,13983.23,14049.13,13970.42
7,2021-04-14,13857.84,14004.08,14033.63,13839.04
8,2021-04-13,13996.1,13902.45,14011.51,13902.45
9,2021-04-12,13850.0,13854.44,13877.0,13783.95
10,2021-04-09,13900.19,13787.02,13905.41,13748.35
11,2021-04-08,13829.31,13796.89,13830.14,13758.71
12,2021-04-07,13688.84,13675.3,13733.03,13653.59
13,2021-04-06,13698.38,13681.67,13776.71,13674.28
14,2021-04-05,13705.59,13594.9,13720.58,13582.76
15,2021-04-01,13480.11,13414.33,13487.08,13404.18
16,2021-03-31,13246.87,13122.57,13325.54,13118.38
17,2021-03-30,13045.39,13008.8,13075.75,12922.57
18,2021-03-29,13059.65,13103.97,13143.41,12968.16
19,2021-03-26,13138.73,12996.03,13149.55,12878.72
20,2020-11-27,12205.85,12159.18,12236.23,12154.57
21,2020-11-25,12094.4,12053.89,12114.77,12020.95
22,2020-11-24,12036.79,11939.33,12049.88,11863.45
23,2020-11-23,11880.63,11916.76,11949.33,11796.53
24,2020-11-20,11854.97,11892.7,11935.47,11852.51
25,2020-11-19,11904.71,11779.04,11912.64,11760.98
26,2020-11-18,11801.6,11896.06,11942.49,11799.96
27,2020-11-17,11899.34,11913.35,11950.18,11852.41
28,2020-11-16,11924.13,11847.11,11937.72,11814.89
29,2020-11-13,11829.29,11794.94,11849.79,11715.52
30,2020-11-12,11709.59,11802.5,11847.84,11666.37
31,2020-11-11,11786.43,11656.65,11793.58,11638.9
32,2020-11-10,11553.86,11622.44,11665.87,11424.61
33,2020-11-09,11713.78,12046.66,12108.07,11703.49
34,2020-11-06,11895.23,11869.9,11920.54,11737.13
35,2020-11-05,11890.93,11816.33,11924.28,11784.15
36,2020-11-04,11590.78,11443.78,11663.31,11394.21
37,2020-11-03,11160.57,11038.66,11213.92,11004.84
38,2020-11-02,10957.61,11010.45,11071.08,10830.95
39,2020-10-30,10911.59,11103.47,11129.81,10822.57
40,2020-07-08,10492.5,10409.35,10494.64,10350.96
41,2020-07-07,10343.89,10412.46,10518.98,10337.98
42,2020-07-06,10433.65,10360.38,10462.05,10354.98
43,2020-07-02,10207.63,10268.67,10310.36,10194.06
44,2020-07-01,10154.63,10063.67,10197.19,10048.04
45,2020-06-30,10058.77,9875.29,10085.59,9863.67
46,2020-06-29,9874.15,9771.72,9877.34,9663.61
47,2020-06-26,9757.22,9995.12,10000.67,9749.07
48,2020-06-25,10017.0,9899.36,10023.28,9810.47
49,2020-06-24,9909.17,10092.92,10137.5,9842.22
50,2020-06-23,10131.37,10130.83,10221.85,10112.44
51,2020-06-22,10056.48,9945.49,10059.61,9916.6
52,2020-06-19,9946.12,10042.13,10053.91,9872.94
53,2020-06-18,9943.05,9892.48,9959.2,9885.66
54,2020-06-17,9910.53,9943.31,9991.21,9891.81
55,2020-06-16,9895.87,9949.78,9963.63,9748.38
56,2020-06-15,9726.02,9426.9,9756.07,9403.0
57,2020-06-12,9588.81,9715.87,9768.64,9413.62
58,2020-06-11,9492.73,9791.24,9868.08,9491.31
59,2020-06-10,10020.35,10012.32,10086.89,9962.58
60,2021-05-21,13470.99,13616.19,13616.58,13463.27
61,2021-05-20,13535.74,13356.63,13563.52,13355.71
62,2021-05-19,13299.74,13078.19,13304.61,13072.23
63,2021-05-18,13303.64,13416.9,13485.35,13299.93
64,2021-05-17,13379.05,13368.8,13399.17,13265.4
65,2021-05-14,13429.98,13255.65,13460.88,13242.97
66,2021-05-13,13124.99,13150.94,13247.87,13007.24
67,2021-05-12,13031.68,13215.49,13288.61,13002.54
68,2021-05-11,13389.43,13115.85,13423.31,13107.67
69,2021-05-10,13401.86,13687.6,13687.93,13401.75
70,2021-05-07,13752.24,13723.09,13828.62,13690.75
71,2021-05-06,13632.84,13557.83,13635.74,13439.39
72,2021-05-05,13582.43,13731.13,13753.05,13553.93
73,2021-05-04,13633.5,13774.51,13795.57,13485.59
74,2021-05-03,13895.12,14031.77,14042.12,13881.51
75,2021-04-30,13962.68,13970.73,14084.76,13941.63
76,2021-04-29,14082.55,14204.52,14211.57,13952.8
77,2021-04-28,14051.03,14082.78,14133.65,14034.7
78,2021-04-27,14090.22,14170.91,14171.24,14064.28
79,2021-04-26,14138.78,14052.38,14154.03,14019.5
80,2020-12-28,12899.42,12914.64,12930.89,12827.45
81,2020-12-24,12804.73,12791.54,12833.55,12767.64
82,2020-12-23,12771.11,12834.94,12841.92,12758.67
83,2020-12-22,12807.92,12785.22,12840.57,12695.31
84,2020-12-21,12742.52,12596.14,12751.27,12525.22
85,2020-12-18,12755.64,12804.93,12809.6,12654.61
86,2020-12-17,12764.75,12730.78,12765.25,12696.35
87,2020-12-16,12658.19,12611.04,12687.32,12566.38
88,2020-12-15,12595.06,12543.26,12596.13,12465.42
89,2020-12-14,12440.04,12447.44,12543.0,12432.71
90,2020-12-11,12377.87,12336.79,12383.5,12246.77
91,2020-12-10,12405.81,12247.55,12431.56,12214.74
92,2020-12-09,12338.95,12591.69,12607.14,12290.78
93,2020-12-08,12582.77,12503.17,12594.54,12453.21
94,2020-12-07,12519.95,12461.0,12536.23,12460.55
95,2020-12-04,12464.23,12399.32,12464.23,12376.44
96,2020-12-03,12377.18,12369.26,12439.02,12356.99
97,2020-12-02,12349.37,12285.75,12360.06,12217.35
98,2020-12-01,12355.11,12313.36,12405.79,12263.93
99,2020-11-30,12198.74,12224.25,12244.65,12027.16
100,2020-08-05,10998.4,10967.87,11002.11,10943.72
101,2020-08-04,10941.17,10897.89,10941.91,10852.9
102,2020-08-03,10902.8,10848.64,10927.56,10831.15
103,2020-07-31,10745.28,10741.47,10747.8,10557.7
104,2020-07-30,10587.81,10450.12,10609.59,10412.09
105,2020-07-29,10542.94,10474.7,10567.91,10464.0
106,2020-07-28,10402.09,10509.2,10523.64,10397.87
107,2020-07-27,10536.27,10421.7,10546.44,10399.86
108,2020-07-24,10363.18,10294.41,10418.75,10217.31
109,2020-07-23,10461.42,10689.5,10728.12,10407.87
110,2020-07-22,10706.13,10687.58,10745.32,10627.45
111,2020-07-21,10680.36,10837.88,10839.93,10650.46
112,2020-07-20,10767.09,10526.02,10783.8,10488.04
113,2020-07-17,10503.19,10500.52,10532.62,10421.21
114,2020-07-16,10473.83,10443.87,10499.79,10364.39
115,2020-07-15,10550.49,10576.72,10604.67,10420.54
116,2020-07-14,10488.58,10310.25,10497.83,10182.46
117,2020-07-13,10390.84,10729.92,10824.79,10368.04
118,2020-07-10,10617.44,10545.91,10622.35,10447.01
119,2020-07-09,10547.75,10563.72,10578.1,10379.91
